Country,Year,Air Pollution,EnergyConsExajoules,EnergyConsPCGigajoule,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renewables,Total CO2 emission,Oil Production,Urban Population,HDI
Austria,2021,11.4,1.482714071,165.7377643,0.490133209,0.32449935,0.112333682,0,0.403662753,0.152085077,60.27813362,0,0.58995,0.916
United Arab Emirates,2021,36,4.528432432,487.8998212,1.811857139,2.498811724,0.073919561,0.095313895,0,0.048530114,293.2359032,164.3805943,0.87299,0.911
Spain,2021,10.7,5.591630176,117.4221318,2.450448115,1.220351354,0.160800514,0.510767074,0.278516794,0.970746325,254.5430607,0,0.81056,0.905
France,2021,11.4,9.406049403,143.9880028,2.908710959,1.549490173,0.232736525,3.429209631,0.546046914,0.739855202,281.2632155,0,0.81242,0.903
Italy,2021,15.2,6.35520986,107.2413781,2.348277113,2.610093178,0.229879273,0,0.405592134,0.761368163,322.0719573,4.840299655,0.71346,0.895
Greece,2021,19,1.053126197,98.75341774,0.515499593,0.25129116,0.073984194,0,0.05486034,0.157490911,59.48952345,0,0.80038,0.887
Poland,2021,19.1,4.442018407,117.1688722,1.378033876,0.836834602,1.88237443,0,0.022033467,0.322742032,318.3842567,0,0.60075,0.876
Saudi Arabia,2021,32.7,10.82421316,301.3288151,6.590367827,4.222331431,0.003691352,0,0,0.007822554,679.4402678,515.0229979,0.84508,0.875
Portugal,2021,7.1,0.956500828,93.05252163,0.42186613,0.211087528,0.010733607,0,0.111655698,0.201157863,40,0,0.66849,0.866
Qatar,2021,38.2,1.927189418,686.2110482,0.485337062,1.440184943,0.000268844,0,0,0.001398569,139.1915195,73.32023668,0.99278,0.855
Chile,2021,21.7,1.663829706,84.9078118,0.732117795,0.225808197,0.264674807,0,0.155741467,0.285487441,88.18965448,0,0.87817,0.855
Hungary,2021,15.5,1.015892667,104.2079072,0.341361009,0.388317,0.060594369,0.14454242,0.00195982,0.079118049,47.09490905,0,0.72245,0.846
Argentina,2021,8.2,3.432285354,75.17729051,1.226142274,1.653665617,0.065714055,0.097911248,0.184609523,0.204242637,212.7533406,29.06631661,0.92229,0.842
Kuwait,2021,29.7,1.738894798,402.5200805,0.833429652,0.902169028,0.00271038,0,0,0.000585738,126.807678,131.0927858,1,0.831
Romania,2021,15.3,1.403318455,73.27134554,0.455147326,0.411685411,0.173575675,0.102000922,0.159200812,0.101708309,76.52270735,3.322,0.54329,0.821
Oman,2021,53.9,1.499264964,329.7544685,0.419798989,1.062919286,0.013110778,0,0,0.003435911,107.843009,46.82454484,0.87044,0.816
Kazakhstan,2021,31.1,2.849647999,150.1482172,0.630976225,0.54509593,1.559915529,0,0.08567511,0.027985205,272.0781932,85.98904025,0.57821,0.811
Malaysia,2021,19.4,4.190895437,127.675368,1.455965827,1.478425903,0.888599599,0,0.304792857,0.06311125,266.7194568,25.92425756,0.77696,0.803
Thailand,2021,20.2,5.109656198,73.03058141,2.245893237,1.692494222,0.807787338,0,0.042766893,0.320714508,301.774696,13.94869493,0.52163,0.8
Sri Lanka,2021,17.4,0.382358564,17.79529307,0.240117577,0,0.060398923,0,0.066749109,0.015092955,25,0,0.1886,0.782
Ukraine,2021,18.5,3.334732185,80.40924443,0.457748807,0.939786695,0.952260018,0.779248653,0.098139069,0.107548944,179.7369055,0,0.69757,0.773
China,2021,32.6,157.6472254,109.1239511,30.59850007,13.63299889,86.16981729,3.683567496,12.24604809,11.31629356,12039.7811,198.881,0.62512,0.768
Peru,2021,29.6,1.199656761,36.04629552,0.515829751,0.28885663,0.046202098,0,0.300923082,0.0478452,63.33718694,5.305072491,0.785,0.762
Mexico,2021,19.3,6.788998976,52.05289612,2.55964982,3.17613819,0.231586512,0.107777952,0.327083038,0.386763464,443.9581169,96.48631856,0.81016,0.758
Brazil,2021,13.6,12.56561033,58.67571778,4.456353059,1.456072232,0.712470596,0.132921082,3.417763231,2.390030126,495.8237457,156.7924414,0.87317,0.754
Colombia,2021,14.1,1.923512484,37.63645172,0.701082131,0.454558654,0.132720029,0,0.563866415,0.071285255,105.4355313,38.87802592,0.8174,0.752
Algeria,2021,20,2.464502678,55.30949671,0.791429773,1.64934,0.017291484,0,8.76E-05,0.006353815,245.1844102,58.174,0.74261,0.745
Azerbaijan,2021,17.6,0.659687888,64.60877414,0.187193937,0.4579371,0.00003354,0,0.012032213,0.002491098,45.65940709,35.13879584,0.56776,0.745
Turkmenistan,2021,20.4,1.604922045,262.5652224,0.283778428,1.321023584,0,0,5.45E-05,6.56E-05,180.2067069,11.98409465,0.52998,0.745
Ecuador,2021,8.4,0.762230635,42.67187503,0.49228005,0.019790521,0.001979453,0,0.240913772,0.007266838,46.25698924,25.34487162,0.64361,0.74
Egypt,2021,29.1,3.794049759,36.40668399,1.279288634,2.227559988,0.05081019,0,0.137880195,0.098510751,267.0940135,29.60136329,0.43,0.731
Uzbekistan,2021,42.8,1.968479337,58.06912131,0.171414893,1.671388129,0.073498253,0,0.051709752,0.00046831,142.8809388,2.718148,0.50427,0.727
South Africa,2021,22.7,4.97843062,82.79452453,1.040999971,0.138722846,3.531440183,0.094228916,0.013197567,0.159841139,472.9356967,0,0.67847,0.713
Indonesia,2021,34.3,8.309739918,30.03058777,2.830217244,1.334905163,3.281591581,0,0.232646654,0.630379277,713.0565675,33.77266774,0.5729,0.705
Philippines,2021,15.6,1.961677818,17.63540514,0.820057483,0.118192771,0.788665508,0,0.087901602,0.146860453,149.4734273,0,0.47684,0.699
Iraq,2021,49.7,2.123094793,51.55720563,1.475796989,0.615398498,0,0,0.028352238,0.003547068,289.7282319,200.8293697,0.71119,0.686
Bangladesh,2021,76.9,1.653675346,9.948056298,0.38489457,1.120666547,0.137362925,0,0.006423215,0.004328089,112.8203307,0,0.38946,0.661
India,2021,58.1,35.42836866,25.39522369,9.406105271,2.238042408,20.08854571,0.39699321,1.510271531,1.788410538,2797.178798,33.99774859,0.35393,0.633
Pakistan,2021,66.8,3.856714938,17.12869874,1.01956591,1.612410001,0.671739002,0.143305197,0.355001784,0.054693043,258.3886343,0,0.3744,0.544
